,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48603,Alampur Bar And Restaurant,No,No,3.7,45,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Dine-out
48604,Al Noor,No,No,3.7,22,Shivajinagar,Quick Bites,"North Indian, Chinese, Arabian, Rolls",350,Dine-out
48607,Tijouri,No,Yes,4.1,77,Race Course Road,Fine Dining,"North Indian, Mughlai",2800,Dine-out
48608,Head's Or Tail's,No,Yes,4.0,141,Wilson Garden,Bar,"Finger Food, North Indian, Chinese",1000,Dine-out
48609,Indian Spice Food,Yes,No,3.7,33,Ulsoor,Quick Bites,"North Indian, Chinese",300,Dine-out
48611,Sahana's (Nati Style),Yes,No,3.8,50,Wilson Garden,Quick Bites,North Indian,350,Dine-out
48615,Lakshmi Natraja Refreshments,No,No,4.3,205,Majestic,Quick Bites,South Indian,150,Dine-out
48617,Hatti Kaapi,Yes,No,3.8,33,Ulsoor,Quick Bites,"South Indian, Beverages",200,Dine-out
48618,Chikkanna Tiffin Room,No,No,4.5,207,City Market,Quick Bites,South Indian,200,Dine-out
48622,Swasthaa,No,No,3.4,7,Sanjay Nagar,Casual Dining,"Continental, Desserts, Italian, Japanese, Mexican, North Indian, South Indian",600,Dine-out
48627,Haji Ali Juice Centre,Yes,No,4.1,80,Commercial Street,"Quick Bites, Beverage Shop","Fast Food, Pizza, Rolls, Beverages, Juices",350,Dine-out
48628,Srinivasa Mess,Yes,No,3.7,35,Wilson Garden,Mess,"Andhra, Chinese",300,Dine-out
48631,Shahi Family Restaurant,Yes,No,3.3,89,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Dine-out
48634,Chickpet Donne Biryani House,Yes,No,3.7,51,Commercial Street,Quick Bites,Biryani,250,Dine-out
48635,Five Star Chicken,Yes,No,3.5,11,Wilson Garden,Quick Bites,Fast Food,200,Dine-out
48650,3 Spice,Yes,No,3.9,157,Wilson Garden,Casual Dining,"North Indian, Chinese",450,Dine-out
48659,Shilpa Veg,No,No,3.6,38,Shivajinagar,Quick Bites,"South Indian, Street Food, Beverages, Desserts",250,Dine-out
48675,New Kohinoor Hotel,No,No,3.1,11,Commercial Street,Casual Dining,North Indian,450,Dine-out
48694,Bharathi Refreshments,No,No,3.8,52,Wilson Garden,Quick Bites,South Indian,150,Dine-out
48697,Cloud Foods,No,No,0.0,0,HSR,Casual Dining,"Chinese, North Indian, Kerala, Seafood, Fast Food",600,Dine-out
48701,Malabar Kitchen,Yes,No,3.1,5,Commercial Street,Quick Bites,"Kerala, North Indian, Chinese",300,Dine-out
48708,Ambur Star Dum Biriyani,No,No,3.2,4,Wilson Garden,Quick Bites,Biryani,200,Dine-out
48739,Ambur Star Dum Biriyani,No,No,3.3,5,Wilson Garden,Quick Bites,Biryani,300,Dine-out
48750,MDP Coffee House,No,No,3.6,15,Commercial Street,Quick Bites,South Indian,200,Dine-out
48753,Donne Biryani Mane,Yes,No,3.4,8,Wilson Garden,Quick Bites,Biryani,300,Dine-out
48759,Alchemy - The Chancery Pavilion,No,Yes,4.3,502,Residency Road,"Microbrewery, Casual Dining",Modern Indian,2000,Drinks & nightlife
48760,The 13th Floor,No,Yes,4.4,4616,MG Road,Lounge,"Asian, North Indian, Thai",1700,Drinks & nightlife
48761,ShakesBierre,No,Yes,4.4,409,Brigade Road,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian",1500,Drinks & nightlife
48762,Communiti,No,No,4.6,4048,Residency Road,"Microbrewery, Casual Dining","Continental, BBQ, Salad",1500,Drinks & nightlife
48763,Bangalore Brew Works,No,Yes,4.3,2240,Residency Road,"Microbrewery, Lounge","Continental, Italian",1700,Drinks & nightlife
48764,Sotally Tober,No,Yes,4.4,232,Residency Road,"Bar, Casual Dining","Asian, Burger, Chinese, Finger Food",1200,Drinks & nightlife
48766,Amber Rush Restobar,No,Yes,4.1,104,Residency Road,Pub,"Continental, Chinese, Fast Food",1000,Drinks & nightlife
48767,Chin Lung Resto Bar,No,No,4.0,521,Residency Road,Bar,"North Indian, Chinese, Fast Food",1000,Drinks & nightlife
48771,Page 3 Multicuisine Restaurant & Bar,No,No,3.6,14,Residency Road,Bar,"North Indian, Chinese, Finger Food",800,Drinks & nightlife
48773,Skyye,No,Yes,4.2,3140,Lavelle Road,Lounge,Continental,2500,Drinks & nightlife
48774,Kaz,No,Yes,4.4,895,Lavelle Road,Fine Dining,"Asian, Japanese, Thai",3000,Drinks & nightlife
48775,Shiro,Yes,Yes,4.4,2247,Lavelle Road,"Fine Dining, Lounge","Japanese, Asian",3000,Drinks & nightlife
48776,The Permit Room,No,No,4.5,1611,Brigade Road,"Casual Dining, Bar",South Indian,1500,Drinks & nightlife
